cell_barcode;orig.ident;nCount_RNA;nFeature_RNA;subproject;library_id;index;donor_id.x;fastq_path_r1;fastq_path_r2;symbolic_link_r1;symbolic_link_r2;zUMI_barcode;plate;original_barcode;well;sample_id;donor_id.y;tissue;time_point;sample_description;sampling_time;sample_description_FN;Exclude_FN
OEXZZMPE;SeuratProject;540046;868;CLL_52;AF9848;N701-S505-NX-xt;63;/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N701-S505-NX-xt_1.fastq.gz;/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N701-S505-NX-xt_2.fastq.gz;CLL_05-599_S148_L007_R1_001.fastq.gz;CLL_05-599_S148_L007_R2_001.fastq.gz;OEXZZMPE;P2464;P2464_N701-S505;CLL_05_599_C01;05/599;63;PB;T1;NA;NA;pretreatment;NA
OFEVFZER;SeuratProject;292337;869;CLL_52;AF9817;N726-S517-NX-xt;63;/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N726-S517-NX-xt_1.fastq.gz;/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N726-S517-NX-xt_2.fastq.gz;CLL_10-7434_S66_L006_R1_001.fastq.gz;CLL_10-7434_S66_L006_R2_001.fastq.gz;OFEVFZER;P2463;P2463_N726-S517;CLL_10_7434_D09;10/7434;63;PB;T2;NA;NA;posttreatment;NA
OFFLUEWA;SeuratProject;704073;2182;CLL_52;AG0855;N729-S520-NX-xt;63;/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N729-S520-NX-xt_1.fastq.gz;/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N729-S520-NX-xt_2.fastq.gz;CLL_14-2116_S316_L001_R1_001.fastq.gz;CLL_14-2116_S316_L001_R2_001.fastq.gz;OFFLUEWA;P2471;P2471_N729-S520;CLL_14_2116_F12;14/2116;63;LN;T3;NA;NA;RS;NA
OFMEUACY;SeuratProject;441016;2261;CLL_52;AG0120;N714-S516-NX-xt;63;/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N714-S516-NX-xt_1.fastq.gz;/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N714-S516-NX-xt_2.fastq.gz;CLL_14-2116_S150_L007_R1_001.fastq.gz;CLL_14-2116_S150_L007_R2_001.fastq.gz;OFMEUACY;P2466;P2466_N714-S516;CLL_14_2116_C11;14/2116;63;LN;T3;NA;NA;RS;NA
OFNNQJYR;SeuratProject;434415;968;CLL_52;AG0513;N705-S511-NX-xt;63;/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N705-S511-NX-xt_1.fastq.gz;/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N705-S511-NX-xt_2.fastq.gz;CLL_05-76_S53_L001_R1_001.fastq.gz;CLL_05-76_S53_L001_R2_001.fastq.gz;OFNNQJYR;P2468;P2468_N705-S511;CLL_05_76_H05;05/76;63;LN;T1;NA;NA;pretreatmnt_2ndTissue;NA
OFTLTTPF;SeuratProject;416239;1405;CLL_52;AF9517;N707-S511-NX-xt;63;/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N707-S511-NX-xt_1.fastq.gz;/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N707-S511-NX-xt_2.fastq.gz;CLL_10-7434_S212_L006_R1_001.fastq.gz;CLL_10-7434_S212_L006_R2_001.fastq.gz;OFTLTTPF;P2460;P2460_N707-S511;CLL_10_7434_H07;10/7434;63;PB;T2;NA;NA;posttreatment;NA
OGVXSYES;SeuratProject;405279;2633;CLL_52;AG0116;N712-S521-NX-xt;63;/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N712-S521-NX-xt_1.fastq.gz;/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N712-S521-NX-xt_2.fastq.gz;CLL_14-2116_S378_L007_R1_001.fastq.gz;CLL_14-2116_S378_L007_R2_001.fastq.gz;OGVXSYES;P2466;P2466_N712-S521;CLL_14_2116_G10;14/2116;63;LN;T3;NA;NA;RS;NA
OGWCUZVS;SeuratProject;397260;1176;CLL_52;AG0183;N723-S515-NX-xt;63;/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N723-S515-NX-xt_1.fastq.gz;/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N723-S515-NX-xt_2.fastq.gz;CLL_10-7434_S373_L007_R1_001.fastq.gz;CLL_10-7434_S373_L007_R2_001.fastq.gz;OGWCUZVS;P2467;P2467_N723-S515;CLL_10_7434_B07;10/7434;63;PB;T2;NA;NA;posttreatment;NA
OHGJWZKC;SeuratProject;284646;1090;CLL_52;AG0586;N719-S502-NX-xt;63;/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N719-S502-NX-xt_1.fastq.gz;/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N719-S502-NX-xt_2.fastq.gz;CLL_05-599_S41_L001_R1_001.fastq.gz;CLL_05-599_S41_L001_R2_001.fastq.gz;OHGJWZKC;P2469;P2469_N719-S502;CLL_05_599_A03;05/599;63;PB;T1;NA;NA;pretreatment;NA
OHNCHLNR;SeuratProject;467968;1057;CLL_52;AG0093;N707-S522-NX-xt;63;/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N707-S522-NX-xt_1.fastq.gz;/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N707-S522-NX-xt_2.fastq.gz;CLL_10-7434_S22_L007_R1_001.fastq.gz;CLL_10-7434_S22_L007_R2_001.fastq.gz;OHNCHLNR;P2466;P2466_N707-S522;CLL_10_7434_H07;10/7434;63;PB;T2;NA;NA;posttreatment;NA
